%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data.data
1692661686844678640,3676,1692661686844678640,,0.0
1692661686849541187,3677,1692661686849541187,,0.0
1692661686854440689,3678,1692661686854440689,,0.0
1692661686859621286,3679,1692661686859621286,,0.0
1692661686864451408,3680,1692661686864451408,,0.0
1692661686869502305,3681,1692661686869502305,,0.0
1692661686874358415,3682,1692661686874358415,,0.0
1692661686879637479,3683,1692661686879637479,,0.0
1692661686884404659,3684,1692661686884404659,,0.0
1692661686889515638,3685,1692661686889515638,,0.0
1692661686894405364,3686,1692661686894405364,,0.0
1692661686899616718,3687,1692661686899616718,,0.0
1692661686904457330,3688,1692661686904457330,,0.0
1692661686909566164,3689,1692661686909566164,,0.0
1692661686914466381,3690,1692661686914466381,,0.0
1692661686919741630,3691,1692661686919741630,,0.0
1692661686924481630,3692,1692661686924481630,,0.0
1692661686929755687,3693,1692661686929755687,,0.0
1692661686935448408,3694,1692661686935448408,,0.0
1692661686940202474,3695,1692661686940202474,,0.0
1692661686944918632,3696,1692661686944918632,,0.0
1692661686949738264,3697,1692661686949738264,,0.0
1692661686954625129,3698,1692661686954625129,,0.0
1692661686959685325,3699,1692661686959685325,,0.0
1692661686964629650,3700,1692661686964629650,,0.0
1692661686969810009,3701,1692661686969810009,,0.0
1692661686974576473,3702,1692661686974576473,,0.0
1692661686979580402,3703,1692661686979580402,,0.0
1692661686984415769,3704,1692661686984415769,,0.0
1692661686989514589,3705,1692661686989514589,,0.0
1692661686994421958,3706,1692661686994421958,,0.0
1692661686999592304,3707,1692661686999592304,,0.0
1692661687004410028,3708,1692661687004410028,,0.0
1692661687009561061,3709,1692661687009561061,,0.0
1692661687014431476,3710,1692661687014431476,,0.0
1692661687019944429,3711,1692661687019944429,,0.0
1692661687024409770,3712,1692661687024409770,,0.0
1692661687029613018,3713,1692661687029613018,,0.0
1692661687034334659,3714,1692661687034334659,,0.0
1692661687039534330,3715,1692661687039534330,,0.0
1692661687044362783,3716,1692661687044362783,,0.0
1692661687049507617,3717,1692661687049507617,,0.0
1692661687054343700,3718,1692661687054343700,,0.0
1692661687059529066,3719,1692661687059529066,,0.0
1692661687064460277,3720,1692661687064460277,,0.0
1692661687069432258,3721,1692661687069432258,,0.0
1692661687074374198,3722,1692661687074374198,,0.0
1692661687079504966,3723,1692661687079504966,,0.0
1692661687084508657,3724,1692661687084508657,,0.0
1692661687089648485,3725,1692661687089648485,,0.0
1692661687094433784,3726,1692661687094433784,,0.0
1692661687099745512,3727,1692661687099745512,,0.0
1692661687104519605,3728,1692661687104519605,,0.0
1692661687109315872,3729,1692661687109315872,,0.0
1692661687114707708,3730,1692661687114707708,,0.0
1692661687119354724,3731,1692661687119354724,,0.0
1692661687124257326,3732,1692661687124257326,,0.0
1692661687129517316,3733,1692661687129517316,,0.0
1692661687134362697,3734,1692661687134362697,,0.0
1692661687141399621,3735,1692661687141399621,,0.0
1692661687144807577,3736,1692661687144807577,,0.0
1692661687149616956,3737,1692661687149616956,,0.0
1692661687154410600,3738,1692661687154410600,,0.0
1692661687159588336,3739,1692661687159588336,,0.0
1692661687164472579,3740,1692661687164472579,,0.0
1692661687169511079,3741,1692661687169511079,,0.0
1692661687174396514,3742,1692661687174396514,,0.0
1692661687179614543,3743,1692661687179614543,,0.0
1692661687184364795,3744,1692661687184364795,,0.0
1692661687189597606,3745,1692661687189597606,,0.0
1692661687194354534,3746,1692661687194354534,,0.0
1692661687199672937,3747,1692661687199672937,,0.0
1692661687204478740,3748,1692661687204478740,,0.0
1692661687209568977,3749,1692661687209568977,,0.0
1692661687214439392,3750,1692661687214439392,,0.0
1692661687219624996,3751,1692661687219624996,,0.0
1692661687224657058,3752,1692661687224657058,,0.0
1692661687229575634,3753,1692661687229575634,,0.0
1692661687234412431,3754,1692661687234412431,,0.0
1692661687239566564,3755,1692661687239566564,,0.0
1692661687244374513,3756,1692661687244374513,,0.0
1692661687249550819,3757,1692661687249550819,,0.0
1692661687254369020,3758,1692661687254369020,,0.0
1692661687259633064,3759,1692661687259633064,,0.0
1692661687265040636,3760,1692661687265040636,,0.0
1692661687270051479,3761,1692661687270051479,,0.0
1692661687275045156,3762,1692661687275045156,,0.0
1692661687280166625,3763,1692661687280166625,,0.0
1692661687284806728,3764,1692661687284806728,,0.0
1692661687289752483,3765,1692661687289752483,,0.0
1692661687294855356,3766,1692661687294855356,,0.0
1692661687300092458,3767,1692661687300092458,,0.0
1692661687304709434,3768,1692661687304709434,,0.0
1692661687309545993,3769,1692661687309545993,,0.0
1692661687315129041,3770,1692661687315129041,,0.0
1692661687319838285,3771,1692661687319838285,,0.0
1692661687324552774,3772,1692661687324552774,,0.0
1692661687329574108,3773,1692661687329574108,,0.0
1692661687334456682,3774,1692661687334456682,,0.0
1692661687339638710,3775,1692661687339638710,,0.0
1692661687346137762,3776,1692661687346137762,,0.0
1692661687349483966,3777,1692661687349483966,,0.0
1692661687354340791,3778,1692661687354340791,,0.0
1692661687359508514,3779,1692661687359508514,,0.0
1692661687364422798,3780,1692661687364422798,,0.0
1692661687369582414,3781,1692661687369582414,,0.0
1692661687374677181,3782,1692661687374677181,,0.0
1692661687379603862,3783,1692661687379603862,,0.0
1692661687384388446,3784,1692661687384388446,,0.0
