%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data.data
1692649626317770004,592,1692649626317770004,,4299.0
1692649626319791316,593,1692649626319791316,,1064.0
1692649626321803331,594,1692649626321803331,,-287.0
1692649626365753412,595,1692649626365753412,,4299.0
1692649626367901086,596,1692649626367901086,,1064.0
1692649626369606494,597,1692649626369606494,,-285.0
1692649626414072751,598,1692649626414072751,,4298.0
1692649626416382789,599,1692649626416382789,,1064.0
1692649626418483018,600,1692649626418483018,,4298.0
1692649626440325260,601,1692649626440325260,,-283.0
1692649626482076168,602,1692649626482076168,,4298.0
1692649626484409093,603,1692649626484409093,,1064.0
1692649626486448287,604,1692649626486448287,,-291.0
1692649626530061721,605,1692649626530061721,,4299.0
1692649626532951593,606,1692649626532951593,,1064.0
1692649626535396099,607,1692649626535396099,,-289.0
1692649626578438043,608,1692649626578438043,,4298.0
1692649626581070899,609,1692649626581070899,,1064.0
1692649626582915544,610,1692649626582915544,,4298.0
1692649626605268955,611,1692649626605268955,,-294.0
1692649626650056600,612,1692649626650056600,,4299.0
1692649626652498722,613,1692649626652498722,,1063.0
1692649626654822826,614,1692649626654822826,,4299.0
1692649626675684452,615,1692649626675684452,,-286.0
1692649626718374490,616,1692649626718374490,,4299.0
1692649626721375465,617,1692649626721375465,,1064.0
1692649626724990367,618,1692649626724990367,,-286.0
1692649626766243934,619,1692649626766243934,,4298.0
1692649626769021272,620,1692649626769021272,,1064.0
1692649626771313428,621,1692649626771313428,,4299.0
1692649626792919874,622,1692649626792919874,,-287.0
1692649626837675571,623,1692649626837675571,,4298.0
1692649626839933156,624,1692649626839933156,,1064.0
1692649626842228412,625,1692649626842228412,,4299.0
1692649626863047838,626,1692649626863047838,,-286.0
1692649626909767866,627,1692649626909767866,,4298.0
1692649626911682367,628,1692649626911682367,,1064.0
1692649626913289546,629,1692649626913289546,,4299.0
1692649626932829141,630,1692649626932829141,,-290.0
1692649626981714487,631,1692649626981714487,,4298.0
1692649626983915805,632,1692649626983915805,,1604.0
1692649627003805160,633,1692649627003805160,,-286.0
1692649627049391508,634,1692649627049391508,,4299.0
1692649627051527500,635,1692649627051527500,,1063.0
1692649627053509235,636,1692649627053509235,,4299.0
1692649627073970079,637,1692649627073970079,,-289.0
1692649627117175579,638,1692649627117175579,,4298.0
1692649627119402408,639,1692649627119402408,,1064.0
1692649627121995687,640,1692649627121995687,,-292.0
1692649627165923118,641,1692649627165923118,,4298.0
1692649627168546199,642,1692649627168546199,,1064.0
1692649627170812845,643,1692649627170812845,,4299.0
1692649627191811323,644,1692649627191811323,,-283.0
1692649627237661361,645,1692649627237661361,,4298.0
1692649627239871263,646,1692649627239871263,,1063.0
1692649627242516517,647,1692649627242516517,,4299.0
1692649627263672351,648,1692649627263672351,,-288.0
1692649627306138992,649,1692649627306138992,,4298.0
1692649627308809757,650,1692649627308809757,,1064.0
1692649627310823917,651,1692649627310823917,,-289.0
1692649627353466987,652,1692649627353466987,,4299.0
1692649627356385231,653,1692649627356385231,,1064.0
1692649627359306097,654,1692649627359306097,,-282.0
1692649627380267620,655,1692649627380267620,,4298.0
