,Torque,Angle,Muscle 0,Muscle 1,Muscle 2,Muscle 3
55,-4.416,0.175,4587.319689257177,4502.963143824817,4922.3374419016445,4835.657421146692
56,-4.416,0.175,4587.160780416488,4500.120561157924,4922.805491318388,4840.196158663152
57,-4.416,0.175,4586.972657610185,4497.314141663604,4923.303042059871,4846.7702942297965
58,-4.416,0.175,4586.75517106151,4494.5438689059565,4923.82965641935,4853.584780217949
59,-4.416,0.175,4586.508192701447,4491.809696137824,4924.384874469478,4858.831878482771
60,-4.416,0.175,4586.231616484144,4489.1115467972595,4924.968214580877,4861.042413662174
61,-4.5760000000000005,0.175,4585.925358685455,4486.4493150289,4925.5791739601755,4859.36340330299
62,-4.5760000000000005,0.175,4585.589358184334,4483.822866229017,4926.217229206615,4853.712994164587
63,-4.5760000000000005,0.175,4585.223576726789,4481.232037613029,4926.881836886351,4844.786755254054
64,-4.416,0.175,4584.82799917208,4478.676638804315,4927.572434123532,4833.916884473012
65,-4.416,0.175,4584.402633720819,4476.156452443171,4928.28843920729,4822.812778079979
66,-4.416,0.175,4583.947512124609,4473.6712348148285,4929.029252213753,4813.232843820684
67,-4.416,0.175,4583.462689876824,4471.220716495497,4929.794255642204,4806.649582246792
68,-4.412000000000001,0.175,4582.94824638411,4468.804603015426,4930.582815064522,4803.970687577714
69,-4.412,0.175,4582.404285118177,4466.422575538073,4931.394279787065,4805.368170397912
70,-4.4079999999999995,0.175,4581.830933747446,4464.074291554475,4932.22798352414,4810.247289460888
71,-4.4079999999999995,0.175,4581.228344248103,4461.759385591991,4933.083245082256,4817.361107053242
72,-4.568,0.175,4580.596692994132,4459.477469936579,4933.959369054372,4825.049485417973
73,-4.568,0.175,4579.936180825902,4457.228135367812,4934.855646523358,4831.558226463827
74,-4.4079999999999995,0.175,4579.247033096905,4455.010951905838,4935.771355773965,4835.379020390458
75,-4.4079999999999995,0.175,4578.529499698283,4452.825469569472,4936.705763012595,4835.546647582487
76,-4.4079999999999995,0.175,4577.783855060772,4450.671219144595,4937.65812309423,4831.837259911815
77,-4.4079999999999995,0.175,4577.010398133777,4448.547712962005,4938.627680255939,4824.829251832989
78,-4.4079999999999995,0.175,4576.209452341271,4446.454445683839,4939.6136688563765,4815.813062934295
79,-4.4079999999999995,0.175,4575.381365514285,4444.390895097649,4940.615314120808,4806.563785637584
80,-4.568,0.175,4574.526509799789,4442.356522917178,4941.631832891178,4799.015740784283
81,-4.4079999999999995,0.175,4573.645281545796,4440.350775588875,4942.662434380834,4794.896670114092
82,-4.4079999999999995,0.175,4572.738101162575,4438.3730851031405,4943.706320933509,4795.387515098966
83,-4.4079999999999995,0.175,4571.805412959913,4436.422869809301,4944.762688786227,4800.870340143254
84,-4.396000000000001,0.175,4570.847684960406,4434.499535233296,4945.830728835791,4810.812327225081
85,-4.384,0.175,4569.865408688818,4432.602474897082,4946.909627408524,4823.8104231931065
86,-4.380000000000001,0.175,4568.859098937618,4430.731071138753,4947.998567032934,4837.793218276064
87,-4.380000000000001,0.175,4567.829293508812,4428.884695932413,4949.096727214933,4850.34887380595
88,-4.376,0.175,4566.7765529322805,4427.062711706868,4950.203285215221,4859.125277407644
89,-4.536,0.175,4565.701460160837,4425.264472162227,4951.317416828397,4862.235086225142
90,-4.376,0.175,4564.604620242273,4423.489323083561,4952.438297163297,4858.596344134951
91,-4.364000000000001,0.175,4563.486659968673,4421.736603150798,4953.5651014239975,4848.149342844147
92,-4.352,0.175,4562.348227503288,4420.005644744088,4954.697005690871,4831.910675585819
93,-4.352,0.175,4561.189991985281,4418.295774743926,4955.833187700982,4811.852552714695
94,-4.348000000000001,0.175,4560.012643112624,4416.606315325348,4956.972827627066,4790.624769898417
95,-4.192,0.175,4558.8168907034615,4414.936584745592,4958.115108854264,4771.163219958458
96,-4.188000000000001,0.175,4557.603464236232,4413.285898124619,4959.25921875372,4756.247986863816
97,-4.176,0.175,4556.373112368829,4411.653568217976,4960.404349452116,4748.082595466768
98,-4.172000000000001,0.175,4555.12660243713,4410.038906181481,4961.5496985961545,4747.962484444152
99,-4.328000000000001,0.175,4553.864719933201,4408.441222327272,4962.694470111008,4756.085862264536
100,-4.168,0.175,4552.588267963566,4406.859826870742,4963.837874951691,4771.536383312423
101,-4.156000000000001,0.175,4551.298066687932,4405.294030667966,4964.979131846355,4792.438618865789
102,-4.151999999999999,0.175,4549.994952738852,4403.74314594318,4966.117468030455,4816.258947474458
103,-4.148000000000001,0.175,4548.679778622855,4402.206487005925,4967.252119970799,4840.201039582198
104,-4.136,0.175,4547.353412103665,4400.683370957439,4968.382334078467,4861.630464210419
105,-4.1240000000000006,0.175,4546.0167355681615,4399.173118385918,4969.507367409626,4878.459456514477
106,-4.272,0.175,4544.670645375872,4397.675054050234,4970.626488353295,4889.43097573576
107,-4.268000000000001,0.175,4543.316051192762,4396.188507551727,4971.738977305117,4894.259293333292
108,-4.256,0.175,4541.953875310206,4394.712813993652,4972.8441273262415,4893.609233775198
109,-4.1080000000000005,0.175,4540.585051949996,4393.247314627901,4973.941244786416,4888.923494397245
110,-4.112,0.175,4539.210526556294,4391.791357488567,4975.029649990438,4882.132506618978
111,-4.112,0.175,4537.831255075405,4390.344298011968,4976.108677787096,4875.299854964448
112,-4.268000000000001,0.175,4536.448203224246,4388.905499642701,4977.1776781597855,4870.26532382038
113,-4.272,0.175,4535.062345748325,4387.474334425327,4978.236016797978,4868.3458712360125
114,-4.268000000000001,0.175,4533.67466567004,4386.050183581261,4979.283075648747,4870.142804619416
115,-4.416,0.175,4532.286153527996,4384.632438070471,4980.318253447576,4875.483484579579
116,-4.416,0.175,4530.897806608057,4383.220499137549,4981.340966227683,4883.5016609600125
117,-4.424,0.175,4529.510628166724,4381.813778841763,4982.350647807142,4892.836359525681
118,-4.268000000000001,0.175,4528.1256266474475,4380.411700570661,4983.346750253101,4901.909293950382
119,-4.268000000000001,0.175,4526.743814890391,4379.013699536828,4984.328744322402,4909.228443190095
120,-4.424,0.175,4525.366209336151,4377.619223257399,4985.296119877983,4913.66266640389
121,-4.268000000000001,0.175,4523.993829223909,4376.227732015932,4986.248386280453,4914.639259201491
122,-4.268000000000001,0.175,4522.627695784475,4374.838699306259,4987.185072754267,4912.231689260768
123,-4.26,0.175,4521.268831428664,4373.451612257948,4988.105728727989,4907.125459070687
124,-4.260000000000001,0.175,4519.9182589314805,4372.065972043023,4989.009924148147,4900.472317529756
125,-4.42,0.175,4518.5770006125385,4370.6812942636,4989.897249766245,4893.662877680761
126,-4.428,0.175,4517.246077513223,4369.297109320123,4990.767317398549,4888.061614433974
127,-4.428000000000001,0.175,4515.926508571067,4367.912962759895,4991.619760158271,4884.753863321831
128,-4.428,0.175,4514.619309791878,4366.528415605605,4992.454232659882,4884.350995145043
129,-4.280000000000001,0.175,4513.3254934201705,4365.143044663591,4993.270411195279,4886.888221832769
