%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data.data
1692741251698934793,7938,1692741251698934793,,6.181946592536761
1692741251703857898,7939,1692741251703857898,,4.249660308923703
1692741251708966255,7940,1692741251708966255,,3.3409296512879374
1692741251713768720,7941,1692741251713768720,,4.665762248748162
1692741251718882799,7942,1692741251718882799,,3.6357758146569883
1692741251723918437,7943,1692741251723918437,,5.008260389481031
1692741251728618144,7944,1692741251728618144,,4.386552167439302
1692741251733992099,7945,1692741251733992099,,3.898929363741146
1692741251739240407,7946,1692741251739240407,,5.096921560800647
1692741251743562936,7947,1692741251743562936,,4.100109581411483
1692741251748792171,7948,1692741251748792171,,4.3358997747052745
1692741251753641843,7949,1692741251753641843,,5.313572274961138
1692741251758816719,7950,1692741251758816719,,5.114955025100258
1692741251763656854,7951,1692741251763656854,,5.735128216204204
1692741251768792390,7952,1692741251768792390,,5.029935163284463
1692741251773676395,7953,1692741251773676395,,4.957796737577805
1692741251778893470,7954,1692741251778893470,,4.836044910262653
1692741251783744573,7955,1692741251783744573,,4.714294375460672
1692741251788885831,7956,1692741251788885831,,4.015207699443688
1692741251793853759,7957,1692741251793853759,,4.407597150376821
1692741251798645496,7958,1692741251798645496,,3.1119561228188535
1692741251803785562,7959,1692741251803785562,,3.8024601772636952
1692741251808880567,7960,1692741251808880567,,4.965361381907936
1692741251813689708,7961,1692741251813689708,,6.293260573709258
1692741251818947553,7962,1692741251818947553,,4.8187691933389685
1692741251824661731,7963,1692741251824661731,,4.715038933795868
1692741251828958988,7964,1692741251828958988,,3.869562810632553
1692741251833834171,7965,1692741251833834171,,4.200790831848994
1692741251838976144,7966,1692741251838976144,,3.796941530393871
1692741251843841314,7967,1692741251843841314,,3.4637913541393757
1692741251850141286,7968,1692741251850141286,,4.141374340317664
1692741251853815555,7969,1692741251853815555,,6.13332703250835
1692741251866251707,7970,1692741251866251707,,6.33998933287065
1692741251867772102,7971,1692741251867772102,,4.757247844196264
1692741251868926048,7972,1692741251868926048,,3.9306048804594313
1692741251876627922,7973,1692741251876627922,,5.130614902829546
1692741251878988981,7974,1692741251878988981,,5.17459974336299
1692741251884006261,7975,1692741251884006261,,5.102535681656291
1692741251889164209,7976,1692741251889164209,,4.700083968025219
1692741251894070863,7977,1692741251894070863,,4.384883475765171
1692741251898814439,7978,1692741251898814439,,5.705599367678513
1692741251904171466,7979,1692741251904171466,,4.059351869215861
1692741251909125804,7980,1692741251909125804,,4.180388846622555
1692741251913965940,7981,1692741251913965940,,4.7542314031846935
1692741251919144630,7982,1692741251919144630,,4.9293631340479225
1692741251924045324,7983,1692741251924045324,,6.417805379640079
1692741251929193258,7984,1692741251929193258,,4.2669030517979385
1692741251934060096,7985,1692741251934060096,,3.90722323616991
1692741251938776254,7986,1692741251938776254,,4.501718869197721
1692741251944651842,7987,1692741251944651842,,4.8083854517470055
1692741251948771953,7988,1692741251948771953,,4.280584106924106
1692741251957967519,7989,1692741251957967519,,5.738381209921216
1692741251958659648,7990,1692741251958659648,,4.847384984545366
1692741251963761806,7991,1692741251963761806,,4.115648176177767
1692741251968922376,7992,1692741251968922376,,4.526409317881752
1692741251973766803,7993,1692741251973766803,,6.517428250092454
1692741251978921413,7994,1692741251978921413,,5.623012664630856
1692741251983815193,7995,1692741251983815193,,5.688264542074581
