,0
532,2.4
533,2.5
534,2.4
535,2.5
536,2.5
537,2.4
538,2.5
539,2.4
540,2.4
541,2.4
542,2.4
543,2.4
544,2.4
545,2.5
546,2.6
547,2.4
548,2.5
549,2.5
550,2.5
551,2.4
552,2.4
553,2.5
554,2.5
555,2.4
556,2.5
557,2.4
558,2.4
559,2.5
560,2.4
561,2.5
562,2.4
563,2.5
564,2.5
565,2.4
566,2.5
567,2.4
568,2.5
569,2.5
570,2.5
571,2.5
572,2.4
573,2.5
574,2.4
575,2.4
576,2.5
577,2.5
578,2.5
579,2.5
580,2.5
581,2.5
582,2.4
583,2.4
584,2.5
585,2.5
586,2.5
587,2.4
588,2.5
589,2.4
590,2.4
591,2.5
592,2.4
593,2.4
594,2.5
595,2.5
596,2.6
597,2.4
598,2.5
599,2.5
600,2.5
601,2.5
602,2.2
603,2.5
604,2.5
605,2.5
606,2.4
607,2.2
608,2.4
609,2.4
610,2.5
611,2.5
612,2.4
613,2.4
614,2.5
615,2.4
616,2.5
617,2.4
618,2.5
619,2.4
620,2.4
621,2.4
622,2.4
623,2.4
624,2.5
625,2.5
626,2.5
627,2.4
628,2.4
629,2.6
630,2.5
631,2.5
632,2.4
633,2.5
634,2.5
635,2.4
636,2.5
637,2.4
638,2.5
639,2.5
640,2.5
641,2.5
642,2.4
643,2.2
644,2.5
645,2.4
646,2.5
647,2.5
648,2.5
649,2.5
650,2.6
651,2.5
652,2.4
653,2.6
654,2.4
655,2.4
656,2.5
657,2.4
658,2.4
659,2.5
660,2.4
661,2.5
662,2.4
663,2.4
664,2.4
665,2.5
666,2.5
667,2.4
668,2.4
669,2.5
670,2.4
671,2.5
672,2.2
673,2.4
674,2.5
675,2.5
676,2.5
677,2.4
678,2.4
679,2.4
680,2.4
681,2.5
682,2.4
683,2.5
684,2.2
685,2.4
686,2.5
687,2.4
688,2.4
689,2.5
690,2.5
691,2.4
692,2.4
693,2.5
694,2.4
695,2.4
696,2.5
697,2.5
698,2.4
699,2.5
700,2.4
701,2.5
702,2.4
703,2.5
704,2.5
705,2.4
706,2.4
707,2.2
708,2.4
709,2.4
710,2.5
711,2.5
712,2.4
713,2.4
714,2.5
715,2.5
716,2.5
717,2.4
718,2.5
719,2.5
720,2.5
721,2.4
722,2.4
723,2.4
724,2.4
725,2.2
726,2.5
727,2.4
728,2.4
729,2.4
730,2.4
731,2.6
732,2.4
733,2.5
734,2.5
735,2.5
736,2.5
737,2.4
738,2.4
739,2.5
740,2.4
741,2.5
742,2.5
743,2.5
744,2.4
745,2.5
746,2.5
747,2.4
748,2.5
749,2.5
750,2.4
751,2.5
752,2.2
753,2.4
754,2.5
755,2.4
756,2.5
757,2.4
758,2.4
759,2.4
760,2.5
761,2.5
762,2.4
763,2.4
764,2.4
765,2.4
766,2.2
767,2.4
768,2.4
769,2.4
770,2.5
771,2.5
772,2.4
773,2.4
774,2.5
775,2.4
776,2.5
777,2.4
778,2.4
779,2.4
780,2.4
781,2.5
782,2.4
783,2.4
784,2.5
785,2.4
786,2.5
787,2.4
788,2.4
789,2.4
790,2.4
791,2.4
792,2.4
793,2.4
794,2.4
795,2.5
796,2.5
797,2.4
798,2.4
799,2.5
800,2.5
801,2.5
802,2.4
803,2.4
804,2.4
805,2.4
806,2.5
807,2.2
808,2.4
809,2.5
810,2.4
811,2.5
812,2.4
813,2.4
814,2.4
815,2.5
816,2.5
817,2.4
818,2.5
819,2.4
820,2.4
821,2.5
822,2.2
823,2.4
824,2.4
825,2.4
826,2.5
827,2.4
828,2.5
829,2.5
830,2.4
831,2.5
832,2.4
833,2.4
834,2.5
835,2.5
836,2.5
837,2.4
838,2.4
839,2.4
840,2.5
841,2.5
842,2.2
843,2.5
844,2.4
845,2.4
846,2.4
847,2.4
848,2.4
849,2.5
850,2.4
851,2.5
852,2.4
853,2.4
854,2.5
855,2.4
856,2.5
857,2.4
858,2.4
859,2.5
860,2.4
861,2.5
862,2.2
863,2.5
864,2.4
865,2.5
866,2.5
867,2.5
868,2.5
869,2.5
870,2.5
871,2.5
872,2.4
873,2.4
874,2.5
875,2.4
876,2.5
877,2.4
878,2.5
879,2.4
880,2.5
881,2.5
882,2.4
883,2.5
884,2.5
885,2.5
886,2.4
887,2.4
888,2.4
889,2.4
890,2.5
891,2.5
892,2.4
893,2.4
894,2.4
895,2.5
896,2.5
897,2.4
898,2.4
899,2.2
900,2.5
901,2.5
902,2.4
903,2.4
904,2.4
905,2.5
906,2.5
907,2.4
908,2.5
909,2.4
910,2.6
911,2.5
912,2.5
913,2.4
914,2.4
915,2.4
916,2.5
917,2.5
918,2.4
919,2.5
920,2.4
921,2.5
922,2.4
923,2.5
924,2.5
925,2.4
926,2.5
927,2.4
928,2.4
929,2.4
930,2.5
931,2.5
932,2.4
933,2.4
934,2.4
935,2.5
936,2.5
937,2.4
938,2.4
939,2.4
940,2.2
941,2.5
942,2.4
943,2.4
944,2.4
945,2.5
946,2.5
947,2.5
948,2.5
949,2.5
950,2.4
951,2.6
952,2.4
953,2.4
954,2.5
955,2.5
956,2.5
957,2.4
958,2.4
959,2.4
960,2.5
961,2.5
962,2.4
963,2.4
964,2.5
965,2.4
966,2.5
967,2.4
968,2.5
969,2.5
970,2.5
971,2.5
972,2.4
973,2.4
974,2.5
975,2.4
976,2.5
977,2.4
978,2.5
979,2.4
980,2.5
981,2.2
982,2.4
983,2.5
984,2.5
985,2.5
986,2.4
987,2.4
988,2.4
989,2.5
990,2.4
991,2.5
992,2.4
993,2.5
994,2.4
995,2.5
996,2.5
997,2.4
998,2.4
999,2.4
1000,2.4
1001,2.6
1002,2.2
1003,2.4
1004,2.4
1005,2.5
1006,2.4
1007,2.4
1008,2.4
1009,2.5
1010,2.5
1011,2.6
1012,2.4
1013,2.5
1014,2.4
1015,2.5
1016,2.5
1017,2.4
1018,2.5
1019,2.5
1020,2.5
1021,2.5
1022,2.2
1023,2.5
1024,2.4
1025,2.4
1026,2.5
1027,2.4
1028,2.4
1029,2.5
1030,2.5
1031,2.5
1032,2.5
1033,2.5
1034,2.5
1035,2.4
1036,2.5
1037,2.5
1038,2.4
1039,2.5
1040,2.5
1041,2.5
1042,2.4
1043,2.5
1044,2.4
1045,2.4
1046,2.5
1047,2.5
1048,2.4
1049,2.5
1050,2.4
1051,2.5
1052,2.2
1053,2.4
1054,2.4
1055,2.4
1056,2.5
1057,2.4
1058,2.5
1059,2.5
1060,2.4
1061,2.5
1062,2.2
1063,2.2
1064,2.5
1065,2.5
1066,2.5
1067,2.5
1068,2.4
1069,2.4
1070,2.5
1071,2.5
1072,2.4
1073,2.5
1074,2.5
1075,2.4
1076,2.5
1077,2.4
1078,2.4
1079,2.4
1080,2.4
1081,2.5
1082,2.4
1083,2.4
1084,2.4
1085,2.4
1086,2.5
1087,2.4
1088,2.4
1089,2.5
1090,2.5
1091,2.5
1092,2.4
1093,2.5
1094,2.5
1095,2.5
1096,2.5
1097,2.4
1098,2.4
1099,2.5
1100,2.4
1101,2.5
1102,2.4
1103,2.5
1104,2.4
1105,2.4
1106,2.5
1107,2.5
1108,2.5
1109,2.5
1110,2.5
1111,2.4
1112,2.4
1113,2.4
1114,2.2
1115,2.4
1116,2.5
1117,2.2
1118,2.5
1119,2.4
1120,2.5
1121,2.5
1122,2.4
1123,2.4
1124,2.5
1125,2.4
1126,2.5
1127,2.4
1128,2.5
1129,2.4
1130,2.4
1131,2.4
1132,2.4
1133,2.4
1134,2.5
1135,2.4
1136,2.4
1137,2.4
1138,2.4
1139,2.5
1140,2.4
1141,2.4
1142,2.4
1143,2.4
1144,2.5
1145,2.4
1146,2.5
1147,2.4
1148,2.5
1149,2.5
1150,2.4
1151,2.5
1152,2.2
1153,2.5
1154,2.5
1155,2.2
1156,2.5
1157,2.4
1158,2.4
1159,2.5
1160,2.5
1161,2.4
1162,2.4
1163,2.4
1164,2.4
1165,2.5
1166,2.5
1167,2.4
1168,2.4
1169,2.4
1170,2.4
1171,2.5
1172,2.4
1173,2.4
1174,2.4
1175,2.4
1176,2.5
1177,2.4
1178,2.4
1179,2.5
1180,2.4
1181,2.5
1182,2.5
1183,2.5
1184,2.4
1185,2.5
1186,2.5
1187,2.4
1188,2.4
1189,2.4
1190,2.4
1191,2.5
1192,2.4
1193,2.5
1194,2.5
1195,2.4
1196,2.2
1197,2.4
1198,2.5
1199,2.4
1200,2.4
1201,2.5
1202,2.4
1203,2.4
1204,2.5
1205,2.4
1206,2.5
1207,2.4
1208,2.4
1209,2.5
1210,2.5
1211,2.5
1212,2.4
1213,2.4
1214,2.5
1215,2.4
1216,2.5
1217,2.4
1218,2.4
1219,2.4
1220,2.2
1221,2.5
1222,2.4
1223,2.5
1224,2.4
1225,2.4
1226,2.5
1227,2.4
1228,2.4
1229,2.5
1230,2.5
1231,2.5
1232,2.4
1233,2.4
1234,2.4
1235,2.4
1236,2.5
1237,2.2
1238,2.5
1239,2.4
1240,2.5
1241,2.6
1242,2.4
1243,2.4
1244,2.5
1245,2.5
1246,2.5
1247,2.4
1248,2.4
1249,2.5
1250,2.4
1251,2.5
1252,2.4
1253,2.4
1254,2.4
1255,2.4
1256,2.5
1257,2.4
1258,2.5
1259,2.5
1260,2.5
1261,2.5
1262,2.4
1263,2.5
1264,2.5
1265,2.5
1266,2.6
1267,2.2
1268,2.4
1269,2.4
1270,2.4
1271,2.5
1272,2.5
1273,2.5
1274,2.5
1275,2.4
1276,2.5
1277,2.4
1278,2.2
1279,2.5
1280,2.4
1281,2.4
1282,2.2
1283,2.4
1284,2.4
1285,2.4
1286,2.5
1287,2.4
1288,2.4
1289,2.4
1290,2.4
1291,2.5
1292,2.4
1293,2.5
1294,2.5
1295,2.5
1296,2.5
1297,2.4
1298,2.5
1299,2.4
1300,2.4
1301,2.5
1302,2.5
1303,2.4
1304,2.5
1305,2.4
1306,2.5
1307,2.4
1308,2.4
1309,2.4
1310,2.4
1311,2.6
1312,2.4
1313,2.5
1314,2.4
1315,2.4
1316,2.5
1317,2.4
1318,2.4
1319,2.2
1320,2.4
1321,2.5
1322,2.4
1323,2.5
1324,2.5
1325,2.5
1326,2.5
1327,2.4
1328,2.4
1329,2.5
1330,2.4
1331,2.5
1332,2.4
1333,2.4
1334,2.4
1335,2.4
1336,2.5
1337,2.4
1338,2.4
1339,2.4
1340,2.5
1341,2.5
1342,2.4
1343,2.4
1344,2.4
1345,2.5
1346,2.5
1347,2.2
1348,2.4
1349,2.4
1350,2.5
1351,2.5
1352,2.4
1353,2.4
1354,2.4
1355,2.4
1356,2.4
1357,2.4
1358,2.5
1359,2.5
1360,2.5
1361,2.5
1362,2.4
1363,2.4
1364,2.5
1365,2.4
1366,2.5
1367,2.4
1368,2.4
1369,2.5
1370,2.2
1371,2.5
1372,2.5
1373,2.4
1374,2.4
1375,2.5
1376,2.5
1377,2.4
1378,2.4
1379,2.5
1380,2.4
1381,2.5
1382,2.4
1383,2.4
1384,2.5
1385,2.5
1386,2.5
1387,2.2
1388,2.5
1389,2.5
1390,2.5
1391,2.5
1392,2.4
1393,2.5
1394,2.4
1395,2.4
1396,2.5
1397,2.4
1398,2.5
1399,2.4
1400,2.5
1401,2.2
1402,2.2
1403,2.4
1404,2.5
1405,2.4
1406,2.4
1407,2.4
